"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="3233992106944113861",="2023030322001129201418781839","支付方式：支付宝，支付单号：2023030322001129201418781839，金额：763.00；","751.00","12.00","0","763.00","0","763.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 13:12:29","2023-03-03 13:12:54","Air Jordan 36 Low AJ36训练防滑篮球鞋 白银绿 郭艾伦DM9032-130，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1154833170174","顺丰速运","'p 715  xxxxx076900【木木 03-03 23:09】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 18:05:29",="p 715  xxxxx076900【木木 03-03 23:09】",=""
="3233103228962645852",="2023030322001141631407854476","支付方式：支付宝，支付单号：2023030322001141631407854476，金额：383.00；","371.00","12.00","0","383.00","0","383.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 13:09:05","2023-03-03 13:19:18","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:SF1505999779349","顺丰速运","'C 353 刘科【木木 03-03 23:39】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 14:42:58",="C 353 刘科【木木 03-03 23:39】",=""
="1834218444807374477",="2023030322001100061456640159","支付方式：支付宝，支付单号：2023030322001100061456640159，金额：632.00；","620.00","12.00","0","632.00","0","632.00","0","交易成功","null","快递","2023-03-03 12:58:19","2023-03-03 12:58:27","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1668068523082","顺丰速运","'Y 572   Zcl【木木 03-05 02:11】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-06 19:24:24","632.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:28:03",="Y 572   Zcl【木木 03-05 02:11】",=""
="1835024018079239566",="2023030322001146591401646600","支付方式：支付宝，支付单号：2023030322001146591401646600，金额：452.00；","440.00","12.00","0","452.00","0","452.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 12:46:02","2023-03-03 12:46:07","Nike Dunk High 耐磨减震舒适防滑 高帮休闲潮流运动鞋DD1398-300，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1506294591334","顺丰速运","'阳 420 到付今天吃蛋挞了吗【木木 03-04 23:02】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 16:03:39",="阳 420 到付今天吃蛋挞了吗【木木 03-04 23:02】",=""
="3233940050232205030",="2023030322001176821456680097","支付方式：支付宝，支付单号：2023030322001176821456680097，金额：712.00；","700.00","12.00","0","712.00","0","712.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 12:42:14","2023-03-03 12:42:22","Nike Blazer Mid 防滑轻便包裹性 中帮潮流 运动休闲鞋DC3280-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663278419966","中通快递","'C 720 南忆丶【扬扬 03-06 01:14】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-05 15:22:43",="C 720 南忆丶【扬扬 03-06 01:14】",=""
="1834962207485315868",="2023030322001108281445184711","支付方式：支付宝，支付单号：2023030322001108281445184711，金额：492.00；","480.00","12.00","0","492.00","0","492.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 12:23:24","2023-03-03 12:23:29","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:990104115838813","顺丰速运","'C 450 Calcium【木木 03-04 00:24】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 15:57:40",="C 450 Calcium【木木 03-04 00:24】",=""
="3233014128887119816",="2023030322001111711411204953","支付方式：支付宝，支付单号：2023030322001111711411204953，金额：402.00；","390.00","12.00","0","402.00","0","402.00","0","交易成功","null","快递","2023-03-03 12:22:23","2023-03-03 12:38:22","Nike Blazer Low 白银 时尚潮流 复古运动轻便休闲板鞋DC4769-113，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1442468672764","顺丰速运","'Y 370  Lee?【木木 03-04 00:30】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-06 18:00:41","402.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 12:58:23",="Y 370  Lee?【木木 03-04 00:30】",=""
="3234146835169680741",="2023030322001186931412325084","支付方式：支付宝，支付单号：2023030322001186931412325084，金额：0.00；","420.00","12.00","0","432.00","0","0.00","0","交易关闭","null","快递","2023-03-03 12:09:11","2023-03-03 12:11:00","Nike 耐克 Dunk Low 低帮复古 潮流运动休闲板鞋 白黑 DJ6188-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","432.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3234057231034680560",="2023030322001164111405212463","支付方式：支付宝，支付单号：2023030322001164111405212463，金额：372.00；","360.00","12.00","0","372.00","0","372.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 11:32:08","2023-03-03 11:32:15","Nike/耐克Joyride Dual Run 2 缓震潮流休闲运动跑步鞋CT0307-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:772019638087184","申通快递","'p 355 A 叫我包子就好了【木木 03-03 23:04】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 15:58:04",="p 355 A 叫我包子就好了【木木 03-03 23:04】",=""
="3232855152659979002",="2023030322001160801456554358","支付方式：支付宝，支付单号：2023030322001160801456554358，金额：532.00；","520.00","12.00","0","532.00","0","532.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 11:19:20","2023-03-03 11:30:05","Nike耐克 Dunk High时尚防滑 高帮运动休闲板鞋 酒红色DD1869-601","1","No:776009271824862","申通快递","'p 500  A熊猫代购【木木 03-03 23:06】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 16:04:19",="p 500  A熊猫代购【木木 03-03 23:06】",=""
="3232814760436487120",="2023030322001183761458851879","支付方式：支付宝，支付单号：2023030322001183761458851879，金额：492.00；","480.00","12.00","0","492.00","0","492.00","0","交易成功","null","快递","2023-03-03 11:06:41","2023-03-03 11:07:25","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:YT7082937571880","圆通速递","'C 458 干冰太多了 3.5普无留底7天售后【木木 03-03 23:59】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 12:45:26","492.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 16:35:21",="C 458 干冰太多了 3.5普无留底7天售后【木木 03-03 23:59】",=""
="1834838869111193385",="2023030322001190731418278212","支付方式：支付宝，支付单号：2023030322001190731418278212，金额：0.00；","670.00","12.00","0","682.00","0","0.00","0","交易关闭","null","快递","2023-03-03 10:57:32","2023-03-03 12:20:16","Air Jordan 1 Low AJ1 复古低帮 轻便运动篮球鞋 灰蓝 DQ4151-500，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","682.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1834052880782760584",="2023030322001127841451426343","支付方式：支付宝，支付单号：2023030322001127841451426343，金额：552.00；","540.00","12.00","0","552.00","0","552.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 10:37:39","2023-03-03 10:37:46","Air Jordan 1 High AJ1 减震运动休闲实战篮球鞋 黑金 DQ0659-700","1","No:773210112104224","申通快递","'C 562 淘宝","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:46:07",="C 562 淘宝",=""
="3233603054013642031",="2023030322001132251412826590","支付方式：支付宝，支付单号：2023030322001132251412826590，金额：502.00；","490.00","12.00","0","502.00","0","502.00","0","交易成功","null","快递","2023-03-03 10:30:05","2023-03-03 10:30:18","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:990104115829426","顺丰速运","'C 460 Calcium【木木 03-04 00:23】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 14:37:47","502.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 15:57:29",="C 460 Calcium【木木 03-04 00:23】",=""
="1834039596597400984",="2023030322001127111403970387","支付方式：支付宝，支付单号：2023030322001127111403970387，金额：402.00；","390.00","12.00","0","402.00","0","402.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 10:23:20","2023-03-03 10:24:26","Nike耐克 M2K Tekno SP 男女酷灰潮流 低帮运动老爹鞋 BV0074-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:776009277992354","申通快递","'C 372 平庸【木木 03-04 00:17】已阅","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:41:17",="C 372 平庸【木木 03-04 00:17】已阅",=""
="1834769929990456789",="2023030322001138121457201763","支付方式：支付宝，支付单号：2023030322001138121457201763，金额：522.00；","510.00","12.00","0","522.00","0","522.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 09:44:41","2023-03-03 09:44:51","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:YT7082938346178","圆通速递","'C 477 干冰太多了 3.5普无留底7天售后【木木 03-04 00:44】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 16:34:50",="C 477 干冰太多了 3.5普无留底7天售后【木木 03-04 00:44】",=""
="3233785971510670921",="2023030322001173121458430106","支付方式：支付宝，支付单号：2023030322001173121458430106，金额：472.00；","460.00","12.00","0","472.00","0","472.00","0","交易成功","null","快递","2023-03-03 09:33:17","2023-03-03 09:33:28","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78662559509861","中通快递","'C 430 John【木木 03-04 00:13】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-06 16:15:28","472.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:27:58",="C 430 John【木木 03-04 00:13】",=""
="3233496638144968930",="2023030322001182831407968868","支付方式：支付宝，支付单号：2023030322001182831407968868，金额：0.00；","440.00","12.00","0","452.00","0","0.00","0","交易关闭","null","快递","2023-03-03 09:27:03","2023-03-03 09:27:09","Nike Dunk High 耐磨减震舒适防滑 高帮休闲潮流运动鞋DD1398-300，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","452.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3233758935922606333",="2023030322001163491429572533","支付方式：支付宝，支付单号：2023030322001163491429572533，金额：762.00；","750.00","12.00","0","762.00","0","762.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 09:13:36","2023-03-03 09:13:45","Air Jordan 1 Low AJ1 复古低帮 轻便运动篮球鞋 灰蓝 DQ4151-500，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1500472022129","顺丰速运","'Y 712    雷子【木木 03-04 00:32】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:26:51",="Y 712    雷子【木木 03-04 00:32】",=""
="1834759707433046796",="2023030322001187921449109842","支付方式：支付宝，支付单号：2023030322001187921449109842，金额：422.00；","410.00","12.00","0","422.00","0","422.00","0","交易成功","null","快递","2023-03-03 09:07:28","2023-03-03 09:07:33","Nike 耐克 Dunk Low 低帮复古 潮流运动休闲板鞋 白黑 DJ6188-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78662524438078","中通快递","'C  400 shen【木木 03-05 02:36】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 11:55:48","422.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:16:43",="C  400 shen【木木 03-05 02:36】",=""
="1833986100001865288",="2023030322001101091405421174","支付方式：支付宝，支付单号：2023030322001101091405421174，金额：502.00；","490.00","12.00","0","502.00","0","502.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 09:02:00","2023-03-03 09:02:07","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:990104113134288","顺丰速运","'C 460 wbzdsmswxh【木木 03-04 00:18】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 16:47:55",="C 460 wbzdsmswxh【木木 03-04 00:18】",=""
="3233736507565496835",="2023030322001180961402041862","支付方式：支付宝，支付单号：2023030322001180961402041862，金额：512.00；","500.00","12.00","0","512.00","0","512.00","0","交易成功","null","快递","2023-03-03 08:52:09","2023-03-03 08:52:57","Air Jordan 1 Low AJ1 白绿 低帮 休闲复时尚古篮球鞋 DC0774-132，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT7083355606127","圆通速递","'C 500 A韦韦?sneaker【木木 03-04 00:26】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-06 15:15:05","512.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 18:56:20",="C 500 A韦韦?sneaker【木木 03-04 00:26】",=""
="1833978000033633187",="2023030322001157241453690177","支付方式：支付宝，支付单号：2023030322001157241453690177，金额：422.00；","410.00","12.00","0","422.00","0","422.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 08:48:19","2023-03-03 08:48:30","Nike 耐克 Dunk Low 低帮复古 潮流运动休闲板鞋 白黑 DJ6188-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78662524761014","中通快递","'C 400 shen【木木 03-06 00:13】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:16:26",="C 400 shen【木木 03-06 00:13】",=""
="3233250541182979702",="2023030322001169421408921966","支付方式：支付宝，支付单号：2023030322001169421408921966，金额：12.00；","12.00","0.00","0","12.00","0","12.00","0","交易成功","null","快递","2023-03-03 08:36:34","2023-03-03 08:36:42","邮费链接","1","No:SF1633427780334","顺丰速运","'null","12","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 16:54:56","12.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:28:15",="null",=""
="3233427662931134441",="2023030322001147261439852501","支付方式：支付宝，支付单号：2023030322001147261439852501，金额：632.00；","620.00","12.00","0","632.00","0","632.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 08:34:41","2023-03-03 13:32:32","Nike耐克 PG 4 泡椒4  实战运动篮球鞋 保罗乔治 黑白 CD5082-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1158160004336","顺丰速运","'C 580 冷空气【木木 03-05 01:33】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 21:48:05",="C 580 冷空气【木木 03-05 01:33】",=""
="3233714583981979702",="2023030322001169421409746626","支付方式：支付宝，支付单号：2023030322001169421409746626，金额：472.00；","460.00","12.00","0","472.00","0","472.00","0","交易成功","null","快递","2023-03-03 08:34:06","2023-03-03 08:34:14","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1633427780334","顺丰速运","'C 430 John【木木 03-04 00:14】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 16:54:42","472.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:28:16",="C 430 John【木木 03-04 00:14】",=""
="3233239633688716362",="2023030322001118571405878664","支付方式：支付宝，支付单号：2023030322001118571405878664，金额：551.00；","539.00","12.00","0","551.00","0","551.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 08:27:39","2023-03-03 08:27:45","Air Jordan 1 Mid AJ1防滑耐磨 中帮运动篮球鞋 粉白棕DJ0338-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78662789186589","中通快递","'退货 590","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-04 14:35:14",="退货 590",=""
="3233691327025127502",="2023030322001142361410799174","支付方式：支付宝，支付单号：2023030322001142361410799174，金额：646.00；","634.00","12.00","0","646.00","0","646.00","0","交易成功","null","快递","2023-03-03 08:03:59","2023-03-03 08:04:06","Nike耐克 Dunk Low  复古耐磨 低帮轻便运动休闲鞋 灰 DQ5015-063，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78662508573034","中通快递","'退货 565","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 17:31:55","646.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 13:56:04",="退货 565",=""
="3233399870183761233",="2023030322001111281449753651","支付方式：支付宝，支付单号：2023030322001111281449753651，金额：722.00；","710.00","12.00","0","722.00","0","722.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 07:59:05","2023-03-03 07:59:17","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:78662603904042","中通快递","'C 699 YUMI【木木 03-04 00:25】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 18:27:56",="C 699 YUMI【木木 03-04 00:25】",=""
="1834724499883595282",="2023030322001189931408693670","支付方式：支付宝，支付单号：2023030322001189931408693670，金额：0.00；","360.00","12.00","0","372.00","0","0.00","0","交易关闭","null","快递","2023-03-03 07:52:54","2023-03-03 07:53:26","Air Jordan Legacy 312 AJ312 高帮运动潮流休闲篮球鞋AT4040-102，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 333  XanarchY","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","372.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 333  XanarchY",=""
="1834709089082477278",="2023030322001116401423649985","支付方式：支付宝，支付单号：2023030322001116401423649985，金额：0.00；","611.00","12.00","0","623.00","0","0.00","0","交易关闭","null","快递","2023-03-03 07:38:50","2023-03-03 07:39:38","Nike耐克 Air Force 1 Low 减震防滑 运动休闲鞋 白灰 CW5909-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 564  Tac0_Tuesday","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","623.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 564  Tac0_Tuesday",=""
="1834705347408462197",="2023030322001143221402930267","支付方式：支付宝，支付单号：2023030322001143221402930267，金额：742.00；","730.00","12.00","0","742.00","0","742.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 06:24:59","2023-03-03 06:25:05","Air Jordan1 MID AJ1白黄 经典复古休闲潮流中帮篮球鞋DM9126-104，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:73198056239787","中通快递","'J 697 乐【木木 03-05 02:24】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 23:15:29",="J 697 乐【木木 03-05 02:24】",=""
="1834731374656856296",="2023030322001114951428914700","支付方式：支付宝，支付单号：2023030322001114951428914700，金额：0.00；","300.00","12.00","0","312.00","0","0.00","0","交易关闭","null","快递","2023-03-03 02:26:26","2023-03-03 02:26:56","耐克Nike Court Vision low  系带轻便 复古运动休闲鞋CD5434-115，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","312.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3233132785011134839",="2023030322001107071401225579","支付方式：支付宝，支付单号：2023030322001107071401225579，金额：372.00；","360.00","12.00","0","372.00","0","372.00","0","交易成功","null","快递","2023-03-03 01:38:18","2023-03-03 01:38:25","Nike耐克 Zoom Freak 3 EP 黑紫字母哥 训练实战篮球鞋DA0695-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT7082370266647","圆通速递","'C 338 虎扑卖家 端の白菜【木木 03-03 23:50】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-05 19:51:15","372.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 14:14:37",="C 338 虎扑卖家 端の白菜【木木 03-03 23:50】",=""
="1834717010204876686",="2023030322001149371428470870","支付方式：支付宝，支付单号：2023030322001149371428470870，金额：992.00；","980.00","12.00","0","992.00","0","992.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 00:53:06","2023-03-03 00:53:11","Nike Air Force 1 AF1 灰白蓝 系带低帮 休闲 运动板鞋DH9597-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1689173626437","顺丰速运","'C 930 ThinKingGor?【木木 03-05 01:26】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 12:33:35",="C 930 ThinKingGor?【木木 03-05 01:26】",=""
="1834714094232022668",="2023030322001111341419010359","支付方式：支付宝，支付单号：2023030322001111341419010359，金额：742.00；","730.00","12.00","0","742.00","0","742.00","0","交易成功","null","快递","2023-03-03 00:45:01","2023-03-03 00:45:14","Nike耐克 Dunk Low 复古轻便 低帮休闲运动板鞋 玫瑰粉DD1503-118","1","No:SF1668099572842","顺丰速运","'C 690 请叫我鞋长【木木 03-04 00:29】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","2023-03-06 18:45:47","742.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 17:01:47",="C 690 请叫我鞋长【木木 03-04 00:29】",=""
="1833900420319595783",="2023030322001198401423943311","支付方式：支付宝，支付单号：2023030322001198401423943311，金额：432.00；","420.00","12.00","0","432.00","0","432.00","0","卖家已发货，等待买家确认","null","快递","2023-03-03 00:39:13","2023-03-03 00:39:23","Nike 耐克 Dunk Low 低帮复古 潮流运动休闲板鞋 白黑 DJ6188-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1689165666561","顺丰速运","'X. 390 xqqqqqq619【木木 03-03 22:30】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-03 12:05:48",="X. 390 xqqqqqq619【木木 03-03 22:30】",=""
